umaban,race_id,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,mark_raw_古澤,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_raw_中山,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup
1,202646071204,2024102863,ブルーブルブルー,,,,,,,,,,,,,,,,2026.06.14,金沢,5,2歳新馬,,ダ900,0:58.9,良,7,3,5,田知弘久,56.0,6-6,38.6,442,0,ミラクルサリチャン(2.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102863,ブルーブルブルー,,田知弘久,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102863,ブルーブルブルー,マジェスティックウォリアー,ナスルーラ系,リオンディーズ,ネイティヴダンサー系,牡2,56.0,448(+6),田知弘久,中川雅之,21.4,6,1枠,144,178,167,944,1433,10%,22%,34%,60%,68%,2024102863,ブルーブルブルー,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024102863,ブルーブルブルー,田知弘久,34,35,28,307,404,8%,17%,24%,59%,69%,2024102863,ブルーブルブルー,中川雅之,123,129,125,605,982,12%,25%,38%,53%,69%,2024102863,ブルーブルブルー,マジェスティックウォリアー,25,35,21,137,218,11%,27%,37%,55%,68%,2024102863,ブルーブルブルー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102863,ブルーブルブルー,,2024102863,ブルーブルブルー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,☆,,△,,,,,,5,57.76,5.74,2
2,202646071204,2024103764,スピーディブラック,,,,,,,,,,,,,,,,2026.06.28,金沢,6,2歳2,,ダ1400,1:39.9,重,6,2,6,吉田晃浩,55.0,6-6-6-6,44.2,455,0,ササキントサ(4.7),,2026.06.14,金沢,6,紫陽花特(2歳),,ダ1400,1:40.6,良,6,3,6,青柳正義,55.0,6-6-6-6,44.4,455,+1,エムザックダンサー(6.0),,2026.05.31,金沢,5,スーパー(2歳),,ダ900,1:03.4,良,5,5,5,魚住謙心,55.0,5-5,41.1,454,0,エムザックダンサー(5.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103764,スピーディブラック,,吉田晃浩,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:39.9,44.2,6,追,2,M,牝,2,,,,,,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:39.9,44.2,6,追,2,M,牝,2,,,,,,,,,,,,,,,,2024103764,スピーディブラック,ビーチパトロール,ネイティヴダンサー系,キングヘイロー,ノーザンダンサー系,牝2,55.0,452(-3),吉田晃浩,鈴木正也,97.5,9,2枠,194,170,179,894,1437,13%,25%,37%,81%,80%,2024103764,スピーディブラック,追,204,248,295,2734,3481,5%,12%,21%,56%,57%,2024103764,スピーディブラック,吉田晃浩,83,93,88,551,815,10%,21%,32%,75%,63%,2024103764,スピーディブラック,鈴木正也,36,55,64,309,464,7%,19%,33%,57%,78%,2024103764,スピーディブラック,ビーチパトロール,11,16,10,81,118,9%,22%,31%,38%,50%,2024103764,スピーディブラック,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103764,スピーディブラック,,2024103764,スピーディブラック,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,△,,▲,☆,,△,,10,100.0,9.94,3
3,202646071204,2024103209,リュウノガッパオ,,,,,,,,,,,,,,,,2026.06.14,金沢,6,2歳新馬,,ダ900,0:58.9,良,7,4,4,加藤翔馬,55.0,2-2,39.5,433,0,ミラクルサリチャン(2.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103209,リュウノガッパオ,,甲賀弘隆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103209,リュウノガッパオ,ノーブルミッション,ノーザンダンサー系,アドマイヤジャパン,サンデーサイレンス系,牝2,55.0,438(+5),甲賀弘隆,加藤和義,20.2,5,3枠,197,177,158,898,1430,13%,26%,37%,89%,70%,2024103209,リュウノガッパオ,先,294,204,162,699,1359,21%,36%,48%,71%,77%,2024103209,リュウノガッパオ,甲賀弘隆,40,57,55,580,732,5%,13%,20%,39%,62%,2024103209,リュウノガッパオ,加藤和義,186,151,123,635,1095,16%,30%,42%,62%,74%,2024103209,リュウノガッパオ,ノーブルミッション,1,3,2,18,24,4%,16%,25%,11%,24%,2024103209,リュウノガッパオ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103209,リュウノガッパオ,,2024103209,リュウノガッパオ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,▲,▲,,,,△,4,46.07,4.58,1
4,202646071204,2024104908,ハートサイン,,,,,,,,,,,,,,,,2026.06.28,金沢,5,2歳2,,ダ1400,1:38.8,重,6,3,5,青柳正義,55.0,5-5-5-4,43.9,426,-8,ササキントサ(3.6),,2026.06.14,金沢,7,2歳新馬,,ダ900,1:03.4,良,7,1,6,青柳正義,55.0,7-7,41.1,434,0,ミラクルサリチャン(6.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104908,ハートサイン,,魚住謙心,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:38.8,43.9,5,追,3,M,牝,2,,,,,,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:38.8,43.9,5,追,3,M,牝,2,,,,,,,,,,,,,,,,2024104908,ハートサイン,スマートファルコン,サンデーサイレンス系,サウスヴィグラス,ネイティヴダンサー系,牝2,55.0,428(+2),魚住謙心,鈴木正也,33.4,7,4枠,174,172,163,924,1433,12%,24%,35%,57%,71%,2024104908,ハートサイン,追,204,248,295,2734,3481,5%,12%,21%,56%,57%,2024104908,ハートサイン,魚住謙心,47,50,60,598,755,6%,12%,20%,79%,52%,2024104908,ハートサイン,鈴木正也,36,55,64,309,464,7%,19%,33%,57%,78%,2024104908,ハートサイン,スマートファルコン,8,4,5,27,44,18%,27%,38%,43%,51%,2024104908,ハートサイン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104908,ハートサイン,,2024104908,ハートサイン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,▲,,,○,,3,35.88,3.57,2
5,202646071204,2024102055,ザケンロクエン,,,,,,,,,,,,,,,,2026.06.28,金沢,4,2歳新馬,,ダ900,1:00.9,重,4,3,4,青柳正義,55.0,2-4,41.1,404,0,レーヌノワール(3.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102055,ザケンロクエン,,栗原大河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102055,ザケンロクエン,ヴァンゴッホ,ネイティヴダンサー系,ハービンジャー,ノーザンダンサー系,牝2,55.0,402(-2),栗原大河,池田敦,108.9,10,5枠,172,175,181,974,1502,11%,23%,35%,87%,83%,2024102055,ザケンロクエン,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024102055,ザケンロクエン,栗原大河,192,160,145,608,1105,17%,31%,44%,74%,77%,2024102055,ザケンロクエン,池田敦,32,33,27,128,220,14%,29%,41%,69%,77%,2024102055,ザケンロクエン,ヴァンゴッホ,0,0,0,0,0,0%,0%,0%,0%,0%,2024102055,ザケンロクエン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102055,ザケンロクエン,,2024102055,ザケンロクエン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,▲,,,,9,93.42,9.29,1
6,202646071204,2024103934,カメリアブラン,,,,,,,,,,,,,,,,2026.06.28,金沢,3,2歳新馬,,ダ900,0:59.8,重,4,2,3,柴田勇真,55.0,2-3,39.9,449,0,レーヌノワール(2.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103934,カメリアブラン,,柴田勇真,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103934,カメリアブラン,チュウワウィザード,ネイティヴダンサー系,ノヴェリスト,その他,牝2,55.0,450(+1),柴田勇真,金田一昌,12.7,4,6枠,173,177,179,1109,1638,10%,21%,32%,54%,71%,2024103934,カメリアブラン,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024103934,カメリアブラン,柴田勇真,76,82,103,517,778,9%,20%,33%,67%,83%,2024103934,カメリアブラン,金田一昌,158,137,129,580,1004,15%,29%,42%,71%,83%,2024103934,カメリアブラン,チュウワウィザード,0,0,0,0,0,0%,0%,0%,0%,0%,2024103934,カメリアブラン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103934,カメリアブラン,,2024103934,カメリアブラン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,6,58.43,5.81,1
7,202646071204,2024102387,ジーティーエナジー,,,,,,,,,,,,,,,,2026.06.28,金沢,3,2歳2,,ダ1400,1:37.0,重,6,4,3,松戸政也,55.0,3-3-3-3,42.5,417,+4,ササキントサ(1.8),,2026.06.14,金沢,3,2歳新馬,,ダ900,0:58.5,良,7,2,7,松戸政也,55.0,4-4,38.3,413,0,ミラクルサリチャン(1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102387,ジーティーエナジー,,松戸政也,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:37.0,42.5,3,差,4,M,牝,2,,,,,,,,,,,,,,,,202646062805,２歳２,20260628,金沢,重,-16,55,1:37.0,42.5,3,差,4,M,牝,2,,,,,,,,,,,,,,,,2024102387,ジーティーエナジー,ミスターメロディ,ノーザンダンサー系,ディープインパクト,サンデーサイレンス系,牝2,55.0,418(+1),松戸政也,藤田弘治,6.4,3,7枠,179,196,218,1287,1880,9%,19%,31%,50%,68%,2024102387,ジーティーエナジー,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024102387,ジーティーエナジー,松戸政也,81,80,117,540,818,9%,19%,33%,88%,75%,2024102387,ジーティーエナジー,藤田弘治,65,45,46,225,381,17%,28%,40%,69%,72%,2024102387,ジーティーエナジー,ミスターメロディ,2,1,2,24,29,6%,10%,17%,204%,34%,2024102387,ジーティーエナジー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102387,ジーティーエナジー,,2024102387,ジーティーエナジー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,◎,▲,,○,,◎,○,2,34.13,3.39,2
8,202646071204,2024101921,リワードハンナ,,,,,,,,,,,,,,,,2026.06.28,金沢,4,2歳新馬,,ダ900,1:03.6,重,4,4,4,平瀬城久,55.0,4-4,40.6,434,0,ワタシセナヨ(6.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101921,リワードハンナ,,平瀬城久,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101921,リワードハンナ,ホッコータルマエ,ネイティヴダンサー系,ジャスタウェイ,サンデーサイレンス系,牝2,55.0,433(-1),平瀬城久,黒木豊,95.4,8,7枠,179,196,218,1287,1880,9%,19%,31%,50%,68%,2024101921,リワードハンナ,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024101921,リワードハンナ,平瀬城久,25,37,42,377,481,5%,12%,21%,73%,52%,2024101921,リワードハンナ,黒木豊,28,33,35,306,402,6%,15%,23%,127%,74%,2024101921,リワードハンナ,ホッコータルマエ,12,19,18,85,134,8%,23%,36%,23%,73%,2024101921,リワードハンナ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101921,リワードハンナ,,2024101921,リワードハンナ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,,,▲,,8,91.19,9.07,2
9,202646071204,2024104997,リュウノアメリカン,,,,,,,,,,,,,,,,2026.06.28,金沢,2,2歳新馬,,ダ900,0:57.5,重,4,1,1,加藤翔馬,56.0,3-3,37.5,446,0,ワタシセナヨ(0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104997,リュウノアメリカン,,加藤翔馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104997,リュウノアメリカン,アメリカンペイトリオット,ノーザンダンサー系,サクラプレジデント,サンデーサイレンス系,牡2,56.0,440(-6),加藤翔馬,加藤和義,1.9,1,8枠,220,203,208,1481,2112,10%,20%,29%,75%,62%,2024104997,リュウノアメリカン,差,808,896,923,4673,7300,11%,23%,35%,74%,76%,2024104997,リュウノアメリカン,加藤翔馬,137,111,112,527,887,15%,27%,40%,75%,72%,2024104997,リュウノアメリカン,加藤和義,186,151,123,635,1095,16%,30%,42%,62%,74%,2024104997,リュウノアメリカン,アメリカンペイトリオット,16,17,15,72,120,13%,27%,40%,50%,64%,2024104997,リュウノアメリカン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104997,リュウノアメリカン,,2024104997,リュウノアメリカン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,◎,◎,,,◎,7,67.26,6.69,3
10,202646071204,2024102274,ケーズグロリア,,,,,,,,,,,,,,,,2026.06.28,金沢,3,2歳新馬,,ダ900,0:57.7,重,4,3,2,青柳正義,56.0,1-1,38.1,471,0,ワタシセナヨ(0.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102274,ケーズグロリア,,青柳正義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102274,ケーズグロリア,ダノンスマッシュ,ネイティヴダンサー系,キンシャサノキセキ,サンデーサイレンス系,牡2,56.0,468(-3),青柳正義,中川雅之,2.7,2,8枠,220,203,208,1481,2112,10%,20%,29%,75%,62%,2024102274,ケーズグロリア,逃,136,91,64,377,668,20%,33%,43%,74%,75%,2024102274,ケーズグロリア,青柳正義,134,157,130,460,881,15%,33%,47%,59%,79%,2024102274,ケーズグロリア,中川雅之,123,129,125,605,982,12%,25%,38%,53%,69%,2024102274,ケーズグロリア,ダノンスマッシュ,0,1,0,0,1,0%,100%,100%,0%,120%,2024102274,ケーズグロリア,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102274,ケーズグロリア,,2024102274,ケーズグロリア,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,▲,,,▲,1,0.0,0.0,2
