umaban,race_id,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,mark_raw_坂田,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup
1,202630071403,2024105406,ルミナスワン,,,,,,,,,,,,,,,,2026.07.01,門別,8,JRA認(2歳),,ダ1100,1:12.0,良,9,6,7,松井伸也,55.0,4-3,41.4,420,0,ヒノエゴールド(4.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105406,ルミナスワン,,松井伸也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105406,ルミナスワン,ダノンプレミアム,サンデーサイレンス系,タイキシャトル,ターントゥ系,牡2,55.0,424(+4),松井伸也,佐久間雅,695.3,12,1枠,71,63,89,769,992,7%,13%,22%,51%,50%,2024105406,ルミナスワン,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024105406,ルミナスワン,松井伸也,28,35,43,469,575,4%,10%,18%,49%,49%,2024105406,ルミナスワン,佐久間雅,29,13,24,194,260,11%,16%,25%,73%,50%,2024105406,ルミナスワン,ダノンプレミアム,0,0,0,7,7,0%,0%,0%,0%,0%,2024105406,ルミナスワン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105406,ルミナスワン,,2024105406,ルミナスワン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,8,53.37,5.31,1
2,202630071403,2024104919,ベイビーノンチャン,,,,,,,,,,,,,,,,2026.07.01,門別,2,JRA認(2歳),,ダ1100,1:09.6,良,9,4,2,石川倭,55.0,4-3,39.0,446,0,ヒノエゴールド(1.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104919,ベイビーノンチャン,,石川倭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104919,ベイビーノンチャン,カラヴァッジオ,ノーザンダンサー系,ディープインパクト,サンデーサイレンス系,牝2,55.0,444(-2),石川倭,米川昇,2.2,1,2枠,76,87,91,753,1007,7%,16%,25%,40%,54%,2024104919,ベイビーノンチャン,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024104919,ベイビーノンチャン,石川倭,168,126,96,365,755,22%,38%,51%,87%,78%,2024104919,ベイビーノンチャン,米川昇,74,58,54,279,465,15%,28%,40%,76%,82%,2024104919,ベイビーノンチャン,カラヴァッジオ,0,0,0,0,0,0%,0%,0%,0%,0%,2024104919,ベイビーノンチャン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104919,ベイビーノンチャン,,2024104919,ベイビーノンチャン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,◎,,,◎,2,1.37,0.14,2
3,202630071403,2024102615,ハリヤード,,,,,,,,,,,,,,,,2026.06.30,門別,9,2歳未勝利,,ダ1200,1:18.2,良,11,6,7,黒澤愛斗,55.0,11-11,38.8,466,+2,デルピエロ(3.4),,2026.06.03,門別,10,JRA認(2歳),,ダ1000,1:05.6,良,12,5,11,岩橋勇二,55.0,12-11,38.8,464,0,スハッチェ(3.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102615,ハリヤード,,黒澤愛斗,,,,,,,,,,,202630063003,２歳未勝利,20260630,門別,良,-22,55,1:18.2,38.8,9,追,6,M,牡,2,202630060306,ＪＲＡ認定競走フレッ,20260603,門別,良,-24,55,1:05.6,38.8,10,追,5,H,牡,2,202630063003,２歳未勝利,20260630,門別,良,-22,55,1:18.2,38.8,9,追,6,M,牡,2,,,,,,,,,,,,,,,,2024102615,ハリヤード,キセキ,ネイティヴダンサー系,ジャングルポケット,ナスルーラ系,牡2,55.0,456(-10),黒澤愛斗,小国博行,595.9,11,3枠,78,95,91,773,1037,7%,16%,25%,66%,70%,2024102615,ハリヤード,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024102615,ハリヤード,黒沢愛斗,36,35,38,440,549,6%,12%,19%,119%,57%,2024102615,ハリヤード,小国博行,72,64,51,308,495,14%,27%,37%,54%,60%,2024102615,ハリヤード,キセキ,0,1,0,4,5,0%,20%,20%,0%,34%,2024102615,ハリヤード,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102615,ハリヤード,,2024102615,ハリヤード,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,11,96.93,9.64,0
4,202630071403,2024100846,カヴォート,,,,,,,,,,,,,,,,2026.06.30,門別,4,2歳未勝利,,ダ1200,1:16.8,良,11,5,10,井上俊彦,55.0,2-2,39.0,476,0,デルピエロ(2.0),,2026.06.17,門別,11,JRA認(2歳),,ダ1100,1:10.4,良,12,12,12,藤田凌駕,53.0,9-9,38.8,476,+6,エイシンウルトラン(2.6),,2026.06.03,門別,10,JRA認(2歳),,ダ1200,1:19.1,良,12,2,11,黒澤愛斗,55.0,11-12,40.0,470,0,アンサラー(4.6),,2026.05.20,門別,8,JRA認(2歳),,ダ1200,1:18.9,良,9,5,9,黒澤愛斗,55.0,9-9,39.8,470,+8,ソルフィオラ(3.8),,2026.04.23,門別,7,JRA認(2歳),,ダ1100,1:11.6,稍,7,8,7,阿部龍,55.0,7-6,39.4,462,0,アクチュエル(3.0),,2024100846,カヴォート,,井上俊彦,,,,,,,,,,,202630063003,２歳未勝利,20260630,門別,良,-22,55,1:16.8,39,4,先,5,M,牡,2,,,,,,,,,,,,,,,,202630063003,２歳未勝利,20260630,門別,良,-22,55,1:16.8,39,4,先,5,M,牡,2,,,,,,,,,,,,,,,,2024100846,カヴォート,レッドファルクス,ネイティヴダンサー系,スマートファルコン,サンデーサイレンス系,牡2,55.0,474(-2),井上俊彦,佐々木国,81.8,9,4枠,95,105,100,759,1059,8%,18%,28%,47%,59%,2024100846,カヴォート,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024100846,カヴォート,井上俊彦,9,16,22,265,312,2%,8%,15%,82%,45%,2024100846,カヴォート,佐々木国,30,41,45,403,519,5%,13%,22%,73%,65%,2024100846,カヴォート,レッドファルクス,7,8,8,38,61,11%,24%,37%,43%,108%,2024100846,カヴォート,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100846,カヴォート,,2024100846,カヴォート,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,,,,◎,,9,64.26,6.39,3
5,202630071403,2024101844,エイシンスーリヤ,,,,,,,,,,,,,,,,2026.06.25,門別,3,JRA認(2歳),,ダ1700,1:56.5,良,5,4,4,服部茂史,55.0,4-4-5-5,43.0,518,0,ゴーゴーミツヒコ(1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101844,エイシンスーリヤ,,服部茂史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101844,エイシンスーリヤ,エイシンヒカリ,サンデーサイレンス系,Medaglia d'Oro,ノーザンダンサー系,牡2,55.0,520(+2),服部茂史,田中淳司,9.0,5,5枠,119,133,139,932,1323,8%,19%,29%,75%,63%,2024101844,エイシンスーリヤ,追,45,50,40,458,593,7%,16%,22%,63%,72%,2024101844,エイシンスーリヤ,服部茂史,82,81,93,344,600,13%,27%,42%,70%,83%,2024101844,エイシンスーリヤ,田中淳司,165,125,115,459,864,19%,33%,46%,108%,82%,2024101844,エイシンスーリヤ,エイシンヒカリ,4,13,9,69,95,4%,17%,27%,35%,44%,2024101844,エイシンスーリヤ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101844,エイシンスーリヤ,,2024101844,エイシンスーリヤ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,△,,,,4,35.34,3.51,3
6,202630071403,2024100550,ウィンターキャビン,,,,,,,,,,,,,,,,2026.07.01,門別,9,北のハー(2歳),,ダ1000,1:06.1,良,10,8,4,桑村真明,55.0,5-8,40.1,478,-18,リュウノアキレス(3.7),,2026.06.18,門別,4,JRA認(2歳),,ダ1100,1:10.3,良,8,4,4,桑村真明,55.0,1-1,40.0,496,0,カリムパッション(1.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100550,ウィンターキャビン,,桑村真明,,,,,,,,,,,,,,,,,,,,,,,,,,202630070101,北のハードワーカー菊,20260701,門別,良,-23,55,1:06.1,40.1,9,差,6,M,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100550,ウィンターキャビン,バンブーエール,ネイティヴダンサー系,サウスヴィグラス,ネイティヴダンサー系,牡2,55.0,472(-6),桑村真明,角川秀樹,22.9,7,5枠,119,133,139,932,1323,8%,19%,29%,75%,63%,2024100550,ウィンターキャビン,先,269,207,180,1008,1664,16%,28%,39%,90%,72%,2024100550,ウィンターキャビン,桑村真明,113,105,81,427,726,15%,30%,41%,86%,77%,2024100550,ウィンターキャビン,角川秀樹,122,123,104,389,738,16%,33%,47%,92%,82%,2024100550,ウィンターキャビン,バンブーエール,9,2,5,16,32,28%,34%,50%,90%,86%,2024100550,ウィンターキャビン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100550,ウィンターキャビン,,2024100550,ウィンターキャビン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,5,40.87,4.06,2
7,202630071403,2024100377,リヴェンドラ,,,,,,,,,,,,,,,,2026.06.30,門別,7,JRA認(2歳),,ダ1200,1:17.2,良,8,2,5,小野楓馬,55.0,5-6,39.3,488,-4,スターオブヴェイズ(2.0),,2026.06.18,門別,3,JRA認(2歳),,ダ1200,1:16.1,良,9,3,7,岩橋勇二,55.0,4-4,39.2,492,-4,ラビリンスティアラ(1.1),,2026.05.28,門別,6,JRA認(2歳),,ダ1200,1:18.1,稍,8,6,8,小野楓馬,55.0,3-3,41.2,496,0,シアンディオ(2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100377,リヴェンドラ,,小野楓馬,,,,,,,,,,,202630061803,ＪＲＡ認定競走アタッ,20260618,門別,良,-20,55,1:16.1,39.2,3,差,3,H,セ,2,,,,,,,,,,,,,,,,202630061803,ＪＲＡ認定競走アタッ,20260618,門別,良,-20,55,1:16.1,39.2,3,差,3,H,セ,2,,,,,,,,,,,,,,,,2024100377,リヴェンドラ,フォーウィールドライブ,ネイティヴダンサー系,アンライバルド,サンデーサイレンス系,セ2,55.0,486(-2),小野楓馬,柳澤好美,8.6,4,6枠,167,160,166,953,1446,11%,22%,34%,58%,70%,2024100377,リヴェンドラ,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024100377,リヴェンドラ,小野楓馬,82,81,95,531,789,10%,20%,32%,59%,70%,2024100377,リヴェンドラ,柳澤好美,7,11,13,213,244,2%,7%,12%,31%,42%,2024100377,リヴェンドラ,フォーウィールドライブ,7,2,4,21,34,20%,26%,38%,57%,93%,2024100377,リヴェンドラ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100377,リヴェンドラ,,2024100377,リヴェンドラ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,△,▲,,▲,△,7,51.76,5.15,3
8,202630071403,2024102334,ブルーアルバム,,,,,,,,,,,,,,,,2026.06.18,門別,9,JRA認(2歳),,ダ1200,1:20.2,良,9,4,9,藤田凌駕,53.0,9-9,38.7,428,-2,ラビリンスティアラ(5.2),,2026.05.28,門別,5,JRA認(2歳),,ダ1200,1:17.7,稍,8,5,6,宮内勇樹,55.0,6-6,40.5,430,0,シアンディオ(1.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102334,ブルーアルバム,,藤田凌駕,,,,,,,,,,,202630052805,ＪＲＡ認定競走フレッ,20260528,門別,稍,-22,55,1:17.7,40.5,5,追,5,H,牝,2,,,,,,,,,,,,,,,,202630052805,ＪＲＡ認定競走フレッ,20260528,門別,稍,-22,55,1:17.7,40.5,5,追,5,H,牝,2,,,,,,,,,,,,,,,,2024102334,ブルーアルバム,ダノンレジェンド,その他,ネオユニヴァース,サンデーサイレンス系,牝2,53.0,434(+6),藤田凌駕,佐々木国,34.9,8,6枠,167,160,166,953,1446,11%,22%,34%,58%,70%,2024102334,ブルーアルバム,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024102334,ブルーアルバム,藤田凌駕,20,14,25,213,272,7%,12%,21%,78%,63%,2024102334,ブルーアルバム,佐々木国,30,41,45,403,519,5%,13%,22%,73%,65%,2024102334,ブルーアルバム,ダノンレジェンド,40,31,31,110,212,18%,33%,48%,99%,108%,2024102334,ブルーアルバム,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102334,ブルーアルバム,,2024102334,ブルーアルバム,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,12,100.0,9.94,2
9,202630071403,2024104073,ヨシノステラ,,,,,,,,,,,,,,,,2026.06.30,門別,5,2歳牝馬未,,ダ1100,1:10.6,良,11,6,1,宮内勇樹,55.0,8-8,38.8,510,-6,クーバランセ(1.2),,2026.06.09,門別,3,2歳未勝利,,ダ1000,1:01.9,重,11,4,4,阿部龍,55.0,7-7,36.3,516,0,リュウノマッスル(0.2),,2026.05.14,門別,8,JRA認(2歳),,ダ1000,1:04.1,良,11,9,8,岩橋勇二,55.0,5-7,39.1,516,0,ピンクゴールド(1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104073,ヨシノステラ,,阿部龍,,,,,,,,,,,,,,,,,,,,,,,,,,202630060902,２歳未勝利,20260609,門別,重,-28,55,1:01.9,36.3,3,追,4,H,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104073,ヨシノステラ,ゴールデンマンデラ,ノーザンダンサー系,クロフネ,ノーザンダンサー系,牝2,55.0,492(-18),阿部龍,桧森邦夫,4.7,3,7枠,185,162,176,1077,1600,11%,21%,32%,80%,74%,2024104073,ヨシノステラ,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024104073,ヨシノステラ,阿部龍,82,86,85,474,727,11%,23%,34%,57%,63%,2024104073,ヨシノステラ,桧森邦夫,35,52,57,414,558,6%,15%,25%,52%,62%,2024104073,ヨシノステラ,ゴールデンマンデラ,0,0,0,1,1,0%,0%,0%,0%,0%,2024104073,ヨシノステラ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104073,ヨシノステラ,,2024104073,ヨシノステラ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,○,▲,○,,○,○,6,50.23,4.99,3
10,202630071403,2024108174,ベラジオファイト,,,,,,,,,,,,,,,,2026.06.24,門別,6,JRA認(2歳),,ダ1000,1:04.5,良,10,8,2,小野楓馬,55.0,4-6,39.5,450,0,ルベルグラン(2.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108174,ベラジオファイト,,落合玄太,,,,,,,,,,,,,,,,,,,,,,,,,,202630062406,ＪＲＡ認定競走フレッ,20260624,門別,良,-22,55,1:04.5,39.5,6,差,7,M,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108174,ベラジオファイト,ニューイヤーズデイ,ネイティヴダンサー系,ブラックタイド,サンデーサイレンス系,牡2,55.0,452(+2),落合玄太,田中淳司,20.1,6,7枠,185,162,176,1077,1600,11%,21%,32%,80%,74%,2024108174,ベラジオファイト,差,605,687,727,5298,7317,8%,17%,27%,58%,63%,2024108174,ベラジオファイト,落合玄太,119,118,85,420,742,16%,31%,43%,61%,67%,2024108174,ベラジオファイト,田中淳司,165,125,115,459,864,19%,33%,46%,108%,82%,2024108174,ベラジオファイト,ニューイヤーズデイ,2,2,3,33,40,5%,10%,17%,46%,32%,2024108174,ベラジオファイト,,0,0,0,0,0,0%,0%,0%,0%,0%,2024108174,ベラジオファイト,,2024108174,ベラジオファイト,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,,,,3,3.63,0.36,1
