race_id,umaban,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_jockey_id,bias_jockey_allowance_mark,bias_trainer,bias_trainer_id,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup,corner3_rank,corner3_gap_pct,corner3_gap_lengths,race_pace_label,mark_raw_古澤,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_honshi,mark_cp,mark_other
202648090106,1,2023103805,キャリアビジョン,,,,,,,,,,,,,,,,2026.07.26,新潟,11,3歳未勝利,,芝1600(外),1:36.0,稍,18,12,11,菊沢一樹,55.0,7-7,35.3,406,-2,アドマイヤウルトラ(0.8),,2026.05.31,東京,8,3歳未勝利,,芝1600,1:34.8,良,18,17,9,菊沢一樹,55.0,11-13,34.1,408,+2,トランスマーレ(1.0),,2026.04.18,福島,10,3歳未勝利,,芝2000,2:00.9,良,16,5,13,上里直汰,52.0,12-12-13-11,35.9,406,-2,ララオウ(1.2),,2026.01.17,中山,11,3歳未勝利,,芝2000,2:01.3,良,18,3,17,上里直汰,52.0,12-11-10-11,35.4,408,+2,レダアトミカ(0.6),,2025.11.23,東京,10,2歳未勝利,,芝1800,1:48.3,良,18,5,13,上里直汰,52.0,17-17-15,34.2,406,-2,リスレジャンデール(1.1),,2023103805,キャリアビジョン,,木之前葵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023103805,キャリアビジョン,シスキン,ネイティヴダンサー系,シンボリクリスエス,ターントゥ系,牝3,53.0,421(+15),木之前葵,a02bb,,榎屋充,05791,3.9,1,1枠,183,210,166,2003,2562,7%,15%,21%,75%,64%,2023103805,キャリアビジョン,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023103805,キャリアビジョン,木之前葵,82,125,140,1161,1508,5%,13%,23%,37%,71%,2023103805,キャリアビジョン,榎屋充,5,5,5,34,49,10%,20%,30%,58%,100%,2023103805,キャリアビジョン,シスキン,2,0,1,0,3,66%,66%,100%,213%,133%,2023103805,キャリアビジョン,,0,0,0,0,0,0%,0%,0%,0%,0%,2023103805,キャリアビジョン,,2023103805,キャリアビジョン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.07,3.49,3,5,64.11,6.37,H,○,△,△,◎,,△,◎
202648090106,2,2023105361,ホウオウパーソンズ,,,,,,,,,,,,,,,,2026.08.02,新潟,15,3歳未勝利,,芝1400,1:22.9,良,17,18,8,今村聖奈,55.0,3-5,36.6,470,+6,ノーブルクロンヌ(1.7),,2026.04.26,東京,14,3歳未勝利,,ダ1600,1:46.6,稍,14,7,6,荻野極,57.0,9-11,43.6,464,-12,サトノフェンサー(7.1),,2026.02.07,東京,13,3歳新馬,,芝1800,1:51.0,良,16,14,13,長浜鴻緒,55.0,2-4-6,35.8,476,0,ベルウッドクレド(1.5),,,,,,,,,,,,,,,,,,,,4月20日生まれ,,,,,,,,,,,,,,,,,,,,2023105361,ホウオウパーソンズ,,近藤颯羽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023105361,ホウオウパーソンズ,キタサンブラック,サンデーサイレンス系,ディスクリートキャット,ノーザンダンサー系,牡3,54.0,472(+2),近藤颯羽,a06c6,▲,藤ヶ崎一,05200,15.9,6,2枠,200,199,201,1980,2580,7%,15%,23%,56%,61%,2023105361,ホウオウパーソンズ,差,1623,1789,1790,12906,18108,8%,18%,28%,69%,74%,2023105361,ホウオウパーソンズ,近藤颯羽,23,24,16,159,222,10%,21%,28%,112%,83%,2023105361,ホウオウパーソンズ,藤ヶ崎一,152,146,117,811,1226,12%,24%,33%,46%,68%,2023105361,ホウオウパーソンズ,キタサンブラック,30,13,9,51,103,29%,41%,50%,84%,79%,2023105361,ホウオウパーソンズ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023105361,ホウオウパーソンズ,,2023105361,ホウオウパーソンズ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.46,1.04,2,3,46.61,4.63,H,,○,,,,○,
202648090106,3,2023106908,アルヴァルディ,,,,,,,,,,,,,,,,2026.08.09,中京,16,3歳未勝利,,ダ1800,2:06.4,良,16,2,14,川端海翼,54.0,1-1-4-10,50.2,508,0,エイシンリブウェル(11.7),,2026.03.28,阪神,14,3歳未勝利,,芝1600(外),1:36.2,良,18,1,12,角田大和,57.0,1-1,37.0,508,+8,ラヴリーティアラ(2.2),,2026.02.21,阪神,8,3歳未勝利,,芝1600(外),1:34.9,良,18,1,14,国分優作,57.0,12-10,34.7,500,+28,ナムラヒナギク(0.7),,2025.08.17,中京,9,2歳新馬,,芝1600,1:38.1,良,9,9,7,吉村誠之,54.0,5-5-5,35.5,472,0,スウィッチインラヴ(1.9),,,,,,,,,,,,,,,,,,,,,2023106908,アルヴァルディ,,塚本征吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023106908,アルヴァルディ,ポエティックフレア,ノーザンダンサー系,アグネスタキオン,サンデーサイレンス系,牡3,57.0,501(-7),塚本征吾,05638,,榎屋充,05791,4.0,2,3枠,209,213,237,1913,2572,8%,16%,25%,69%,77%,2023106908,アルヴァルディ,先,489,372,300,1769,2930,16%,29%,39%,67%,70%,2023106908,アルヴァルディ,塚本征吾,307,246,231,1172,1956,15%,28%,40%,87%,77%,2023106908,アルヴァルディ,榎屋充,5,5,5,34,49,10%,20%,30%,58%,100%,2023106908,アルヴァルディ,ポエティックフレア,0,0,0,3,3,0%,0%,0%,0%,0%,2023106908,アルヴァルディ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023106908,アルヴァルディ,,2023106908,アルヴァルディ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0,1,0.0,0.0,H,☆,◎,△,△,,◎,△
202648090106,4,2023100098,ジャッキーバローズ,,,,,,,,,,,,,,,,2026.08.01,中京,9,3歳未勝利,,ダ1800,1:59.1,良,16,15,9,コレット,57.0,14-14-15-16,41.8,512,-2,サトノグロリア(4.5),,2026.03.29,阪神,8,3歳未勝利,,ダ2000,2:09.3,良,9,9,9,田口貫太,57.0,8-8-6-6,39.8,514,-6,ミスターエメラルド(2.4),,2026.03.08,阪神,13,3歳未勝利,,ダ1800,1:59.6,良,14,8,10,富田暁,57.0,13-11-11-11,41.0,520,0,ワザオギ(3.7),,,,,,,,,,,,,,,,,,,,3月28日生まれ,,,,,,,,,,,,,,,,,,,,2023100098,ジャッキーバローズ,,加藤誓二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023100098,ジャッキーバローズ,クリソベリル,サンデーサイレンス系,オルフェーヴル,サンデーサイレンス系,牡3,57.0,523(+11),加藤誓二,a01b4,,植松則幸,05357,30.6,9,4枠,206,226,241,1889,2562,8%,16%,26%,72%,72%,2023100098,ジャッキーバローズ,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023100098,ジャッキーバローズ,加藤誓二,24,30,40,703,797,3%,6%,11%,57%,56%,2023100098,ジャッキーバローズ,植松則幸,47,37,60,726,870,5%,9%,16%,84%,67%,2023100098,ジャッキーバローズ,クリソベリル,5,5,5,35,50,10%,20%,30%,373%,64%,2023100098,ジャッキーバローズ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023100098,ジャッキーバローズ,,2023100098,ジャッキーバローズ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,88.62,8.81,2,10,98.35,9.78,H,,,,,,,★
202648090106,5,2023101119,レディリリス,,,,,,,,,,,,,,,,2026.07.18,函館,12,3歳未勝利,,ダ1000,1:02.2,良,12,1,7,鮫島克駿,55.0,11-12,38.3,454,+14,メモリーデイズ(2.6),,2025.07.26,新潟,8,2歳新馬,,芝1400,1:22.6,良,18,12,8,大野拓弥,55.0,15-15,34.3,440,0,エコロアルバ(1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101119,レディリリス,,友森翔太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101119,レディリリス,タワーオブロンドン,ネイティヴダンサー系,ヴィクトワールピサ,サンデーサイレンス系,牝3,55.0,471(+17),友森翔太,a023e,,榎屋充,05791,74.6,11,5枠,318,350,337,3024,4029,7%,16%,24%,51%,69%,2023101119,レディリリス,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023101119,レディリリス,友森翔太郎,78,92,109,955,1234,6%,13%,22%,75%,69%,2023101119,レディリリス,榎屋充,5,5,5,34,49,10%,20%,30%,58%,100%,2023101119,レディリリス,タワーオブロンドン,7,7,12,61,87,8%,16%,29%,65%,95%,2023101119,レディリリス,,0,0,0,0,0,0%,0%,0%,0%,0%,2023101119,レディリリス,,2023101119,レディリリス,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,82.06,8.16,0,7,86.21,8.57,H,,,,○,,,
202648090106,6,2023104906,グランスプリント,,,,,,,,,,,,,,,,2026.08.02,中京,15,3歳未勝利,,芝1400,1:21.3,良,18,7,15,長岡禎仁,57.0,3-3,36.1,430,0,アラビアンジョイ(1.8),,2026.07.12,小倉,11,3歳未勝利,,芝1800,1:49.4,良,13,2,13,吉村誠之,57.0,3-3-5-7,37.9,430,-2,レッドパラジウム(2.1),,2026.05.30,京都,13,3歳未勝利,,芝1400,1:22.1,良,17,12,14,丹内祐次,57.0,6-9,36.1,432,-6,メイショウトウコウ(1.8),,2026.03.15,中京,12,3歳未勝利,,芝1400,1:22.0,良,18,7,10,長岡禎仁,57.0,17-16,34.9,438,0,タイキプレジール(0.9),,,,,,,,,,,,,,,,,,,,4月17日生まれ,2023104906,グランスプリント,,阪野学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023104906,グランスプリント,ファインニードル,ネイティヴダンサー系,トーセンホマレボシ,サンデーサイレンス系,牡3,57.0,438(+8),阪野学,05512,,植松則幸,05357,5.8,4,6枠,426,453,443,3353,4675,9%,18%,28%,86%,74%,2023104906,グランスプリント,差,1623,1789,1790,12906,18108,8%,18%,28%,69%,74%,2023104906,グランスプリント,阪野学,22,25,34,483,564,3%,8%,14%,34%,50%,2023104906,グランスプリント,植松則幸,47,37,60,726,870,5%,9%,16%,84%,67%,2023104906,グランスプリント,ファインニードル,17,20,20,117,174,9%,21%,32%,23%,74%,2023104906,グランスプリント,,0,0,0,0,0,0%,0%,0%,0%,0%,2023104906,グランスプリント,,2023104906,グランスプリント,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.5,1.24,3,2,39.36,3.91,H,△,,▲,△,,,○
202648090106,7,2023101175,プロットシッケンズ,,,,,,,,,,,,,,,,2026.07.25,中京,10,3歳未勝利,,芝2000,2:02.0,良,12,9,8,田山旺佑,56.0,10-10-11-11,33.9,482,-2,プレスバーン(1.1),,2026.03.29,阪神,9,3歳未勝利,,芝2000,2:02.6,良,12,6,7,菱田裕二,57.0,12-12-5-6,37.0,484,0,サイモンシャリオ(2.2),,,,,,,,,,,,,,,,,,,,4月14日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101175,プロットシッケンズ,,大畑慧悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101175,プロットシッケンズ,ハービンジャー,ノーザンダンサー系,ステイゴールド,サンデーサイレンス系,牡3,57.0,476(-6),大畑慧悟,05648,,竹下太,a02e8,9.7,5,6枠,426,453,443,3353,4675,9%,18%,28%,86%,74%,2023101175,プロットシッケンズ,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023101175,プロットシッケンズ,大畑慧悟,150,172,176,1275,1773,8%,18%,28%,76%,81%,2023101175,プロットシッケンズ,竹下太,59,81,88,941,1169,5%,11%,19%,75%,73%,2023101175,プロットシッケンズ,ハービンジャー,21,36,38,321,416,5%,13%,22%,47%,59%,2023101175,プロットシッケンズ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023101175,プロットシッケンズ,,2023101175,プロットシッケンズ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41.37,4.11,2,6,77.5,7.7,H,▲,▲,◎,▲,,▲,◎
202648090106,8,2023103586,ストラドーネ,,,,,,,,,,,,,,,,2026.08.09,中京,16,3歳未勝利,,芝2000,2:02.6,良,16,5,15,柴田裕一,55.0,13-14-15-14,35.4,430,-4,フィンガーレイクス(2.7),,2026.07.26,中京,9,3歳未勝利,,芝2200,2:13.3,良,10,5,10,柴田裕一,55.0,10-10-10-10,34.7,434,+18,ダノンミッドナイト(1.8),,2026.04.26,京都,10,3歳未勝利,,芝2000,2:01.5,良,12,1,12,柴田裕一,55.0,12-12-11-11,36.3,416,+2,ロングホリデー(1.1),,2026.04.04,阪神,10,3歳未勝利,,芝1800(外),1:49.4,良,18,14,18,柴田裕一,55.0,15-12,34.5,414,-10,ラヴィニール(1.8),,2025.12.07,中京,13,2歳未勝利,,ダ1800,1:59.0,良,13,11,9,西村淳也,56.0,12-12-13-13,40.8,424,-6,リベッチオ(5.2),,2023103586,ストラドーネ,,丹羽克輝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023103586,ストラドーネ,マインドユアビスケッツ,ノーザンダンサー系,ディープインパクト,サンデーサイレンス系,牡3,57.0,430(0),丹羽克輝,05324,,櫻井今朝,05368,17.0,7,7枠,506,466,438,3606,5016,10%,19%,28%,80%,73%,2023103586,ストラドーネ,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023103586,ストラドーネ,丹羽克輝,52,79,97,874,1102,4%,11%,20%,63%,76%,2023103586,ストラドーネ,櫻井今朝,93,103,114,893,1203,7%,16%,25%,79%,74%,2023103586,ストラドーネ,マインドユアビスケッツ,32,33,34,257,356,8%,18%,27%,53%,68%,2023103586,ストラドーネ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023103586,ストラドーネ,,2023103586,ストラドーネ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63.48,6.31,3,8,89.02,8.85,H,,,○,△,,,▲
202648090106,9,2023106642,ウォーブレイク,,,,,,,,,,,,,,,,2026.07.26,中京,14,3歳未勝利,,ダ1800,1:58.5,良,15,10,13,国分優作,57.0,13-14-15-14,40.5,502,0,エアアルチーナ(4.6),,,,,,,,,,,,,,,,,,,,3月22日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023106642,ウォーブレイク,,大畑雅章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023106642,ウォーブレイク,デクラレーションオブウォー,ノーザンダンサー系,ノヴェリスト,その他,牡3,57.0,503(+1),大畑雅章,05370,,沖田明子,a0437,17.0,8,7枠,506,466,438,3606,5016,10%,19%,28%,80%,73%,2023106642,ウォーブレイク,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023106642,ウォーブレイク,大畑雅章,130,146,149,1146,1571,8%,17%,27%,62%,69%,2023106642,ウォーブレイク,沖田明子,73,85,104,768,1030,7%,15%,25%,58%,65%,2023106642,ウォーブレイク,デクラレーションオブウォー,17,21,15,80,133,12%,28%,39%,37%,81%,2023106642,ウォーブレイク,,0,0,0,0,0,0%,0%,0%,0%,0%,2023106642,ウォーブレイク,,2023106642,ウォーブレイク,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48.66,4.84,2,4,55.45,5.51,H,,,,,,,★
202648090106,10,2023102050,サイモングリーマン,,,,,,,,,,,,,,,,2026.07.19,福島,10,3歳未勝利,,ダ1700,1:49.9,良,15,2,15,木幡育也,57.0,13-11-12-14,39.9,482,-4,チェイサー(3.5),,2026.06.28,福島,13,3歳未勝利,,ダ1700,1:50.0,良,14,8,14,木幡育也,57.0,14-14-13-13,39.2,486,+16,ウインビギニング(4.0),,2026.04.07,川崎,8,ダイヤモ(3歳),,ダ1600,1:48.4,重,10,2,10,池谷匠翔,56.0,9-9-9-9,41.4,470,-2,ダテオトコ(2.6),,2026.02.15,京都,9,3歳未勝利,,ダ1800,1:58.8,良,10,6,9,藤懸貴志,57.0,9-9-9-9,40.1,472,-6,ガウラディスコ(4.0),,2026.01.31,京都,8,3歳未勝利,,ダ1800,1:58.0,良,9,6,9,原優介,57.0,9-9-9-8,39.5,478,-10,メイショウソウテン(3.2),,2023102050,サイモングリーマン,,大原浩司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202603020807,未勝利,20260719,福島,良,-19,57,1:49.9,39.9,10,追,2,M,牡,3,2023102050,サイモングリーマン,リアルインパクト,サンデーサイレンス系,キンシャサノキセキ,サンデーサイレンス系,牡3,57.0,478(-4),大原浩司,05368,,今津勝之,05274,43.5,10,8枠,548,480,526,3549,5103,10%,20%,30%,62%,70%,2023102050,サイモングリーマン,追,383,371,436,6246,7436,5%,10%,16%,73%,63%,2023102050,サイモングリーマン,大原浩司,14,21,40,648,723,1%,4%,10%,45%,65%,2023102050,サイモングリーマン,今津勝之,84,119,121,800,1124,7%,18%,28%,54%,81%,2023102050,サイモングリーマン,リアルインパクト,7,11,9,89,116,6%,15%,23%,133%,63%,2023102050,サイモングリーマン,,0,0,0,0,0,0%,0%,0%,0%,0%,2023102050,サイモングリーマン,,2023102050,サイモングリーマン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,95.26,9.47,3,11,100.0,9.94,H,,,,,,,★
