umaban,race_id,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,data_distance_horse_id,data_distance_horse_name,data_distance_slot1_label,data_distance_slot1_note,data_distance_slot1_win_1st,data_distance_slot1_win_2nd,data_distance_slot1_win_3rd,data_distance_slot1_win_out,data_distance_slot1_runs,data_distance_slot1_win_rate,data_distance_slot1_place2_rate,data_distance_slot1_place3_rate,data_distance_slot1_win_return_rate,data_distance_slot1_place_return_rate,data_distance_slot2_label,data_distance_slot2_note,data_distance_slot2_win_1st,data_distance_slot2_win_2nd,data_distance_slot2_win_3rd,data_distance_slot2_win_out,data_distance_slot2_runs,data_distance_slot2_win_rate,data_distance_slot2_place2_rate,data_distance_slot2_place3_rate,data_distance_slot2_win_return_rate,data_distance_slot2_place_return_rate,data_distance_slot3_label,data_distance_slot3_note,data_distance_slot3_win_1st,data_distance_slot3_win_2nd,data_distance_slot3_win_3rd,data_distance_slot3_win_out,data_distance_slot3_runs,data_distance_slot3_win_rate,data_distance_slot3_place2_rate,data_distance_slot3_place3_rate,data_distance_slot3_win_return_rate,data_distance_slot3_place_return_rate,data_distance_slot4_label,data_distance_slot4_note,data_distance_slot4_win_1st,data_distance_slot4_win_2nd,data_distance_slot4_win_3rd,data_distance_slot4_win_out,data_distance_slot4_runs,data_distance_slot4_win_rate,data_distance_slot4_place2_rate,data_distance_slot4_place3_rate,data_distance_slot4_win_return_rate,data_distance_slot4_place_return_rate,data_distance_slot5_label,data_distance_slot5_note,data_distance_slot5_win_1st,data_distance_slot5_win_2nd,data_distance_slot5_win_3rd,data_distance_slot5_win_out,data_distance_slot5_runs,data_distance_slot5_win_rate,data_distance_slot5_place2_rate,data_distance_slot5_place3_rate,data_distance_slot5_win_return_rate,data_distance_slot5_place_return_rate,data_course_horse_id,data_course_horse_name,data_course_slot1_label,data_course_slot1_note,data_course_slot1_win_1st,data_course_slot1_win_2nd,data_course_slot1_win_3rd,data_course_slot1_win_out,data_course_slot1_runs,data_course_slot1_win_rate,data_course_slot1_place2_rate,data_course_slot1_place3_rate,data_course_slot1_win_return_rate,data_course_slot1_place_return_rate,data_course_slot2_label,data_course_slot2_note,data_course_slot2_win_1st,data_course_slot2_win_2nd,data_course_slot2_win_3rd,data_course_slot2_win_out,data_course_slot2_runs,data_course_slot2_win_rate,data_course_slot2_place2_rate,data_course_slot2_place3_rate,data_course_slot2_win_return_rate,data_course_slot2_place_return_rate,data_course_slot3_label,data_course_slot3_note,data_course_slot3_win_1st,data_course_slot3_win_2nd,data_course_slot3_win_3rd,data_course_slot3_win_out,data_course_slot3_runs,data_course_slot3_win_rate,data_course_slot3_place2_rate,data_course_slot3_place3_rate,data_course_slot3_win_return_rate,data_course_slot3_place_return_rate,data_course_slot4_label,data_course_slot4_note,data_course_slot4_win_1st,data_course_slot4_win_2nd,data_course_slot4_win_3rd,data_course_slot4_win_out,data_course_slot4_runs,data_course_slot4_win_rate,data_course_slot4_place2_rate,data_course_slot4_place3_rate,data_course_slot4_win_return_rate,data_course_slot4_place_return_rate,data_condition_horse_id,data_condition_horse_name,data_condition_slot1_label,data_condition_slot1_note,data_condition_slot1_win_1st,data_condition_slot1_win_2nd,data_condition_slot1_win_3rd,data_condition_slot1_win_out,data_condition_slot1_runs,data_condition_slot1_win_rate,data_condition_slot1_place2_rate,data_condition_slot1_place3_rate,data_condition_slot1_win_return_rate,data_condition_slot1_place_return_rate,data_condition_slot2_label,data_condition_slot2_note,data_condition_slot2_win_1st,data_condition_slot2_win_2nd,data_condition_slot2_win_3rd,data_condition_slot2_win_out,data_condition_slot2_runs,data_condition_slot2_win_rate,data_condition_slot2_place2_rate,data_condition_slot2_place3_rate,data_condition_slot2_win_return_rate,data_condition_slot2_place_return_rate,data_condition_slot3_label,data_condition_slot3_note,data_condition_slot3_win_1st,data_condition_slot3_win_2nd,data_condition_slot3_win_3rd,data_condition_slot3_win_out,data_condition_slot3_runs,data_condition_slot3_win_rate,data_condition_slot3_place2_rate,data_condition_slot3_place3_rate,data_condition_slot3_win_return_rate,data_condition_slot3_place_return_rate,data_condition_slot4_label,data_condition_slot4_note,data_condition_slot4_win_1st,data_condition_slot4_win_2nd,data_condition_slot4_win_3rd,data_condition_slot4_win_out,data_condition_slot4_runs,data_condition_slot4_win_rate,data_condition_slot4_place2_rate,data_condition_slot4_place3_rate,data_condition_slot4_win_return_rate,data_condition_slot4_place_return_rate,data_others_horse_id,data_others_horse_name,data_others_slot1_label,data_others_slot1_note,data_others_slot1_win_1st,data_others_slot1_win_2nd,data_others_slot1_win_3rd,data_others_slot1_win_out,data_others_slot1_runs,data_others_slot1_win_rate,data_others_slot1_place2_rate,data_others_slot1_place3_rate,data_others_slot1_win_return_rate,data_others_slot1_place_return_rate,data_others_slot2_label,data_others_slot2_note,data_others_slot2_win_1st,data_others_slot2_win_2nd,data_others_slot2_win_3rd,data_others_slot2_win_out,data_others_slot2_runs,data_others_slot2_win_rate,data_others_slot2_place2_rate,data_others_slot2_place3_rate,data_others_slot2_win_return_rate,data_others_slot2_place_return_rate,data_others_slot3_label,data_others_slot3_note,data_others_slot3_win_1st,data_others_slot3_win_2nd,data_others_slot3_win_3rd,data_others_slot3_win_out,data_others_slot3_runs,data_others_slot3_win_rate,data_others_slot3_place2_rate,data_others_slot3_place3_rate,data_others_slot3_win_return_rate,data_others_slot3_place_return_rate,data_cushion_horse_id,data_cushion_horse_name,data_cushion_slot1_label,data_cushion_slot1_note,data_cushion_slot1_win_1st,data_cushion_slot1_win_2nd,data_cushion_slot1_win_3rd,data_cushion_slot1_win_out,data_cushion_slot1_runs,data_cushion_slot1_win_rate,data_cushion_slot1_place2_rate,data_cushion_slot1_place3_rate,data_cushion_slot1_win_return_rate,data_cushion_slot1_place_return_rate,data_cushion_slot2_label,data_cushion_slot2_note,data_cushion_slot2_win_1st,data_cushion_slot2_win_2nd,data_cushion_slot2_win_3rd,data_cushion_slot2_win_out,data_cushion_slot2_runs,data_cushion_slot2_win_rate,data_cushion_slot2_place2_rate,data_cushion_slot2_place3_rate,data_cushion_slot2_win_return_rate,data_cushion_slot2_place_return_rate,data_baba_water_horse_id,data_baba_water_horse_name,data_baba_water_slot1_label,data_baba_water_slot1_note,data_baba_water_slot1_win_1st,data_baba_water_slot1_win_2nd,data_baba_water_slot1_win_3rd,data_baba_water_slot1_win_out,data_baba_water_slot1_runs,data_baba_water_slot1_win_rate,data_baba_water_slot1_place2_rate,data_baba_water_slot1_place3_rate,data_baba_water_slot1_win_return_rate,data_baba_water_slot1_place_return_rate,data_baba_water_slot2_label,data_baba_water_slot2_note,data_baba_water_slot2_win_1st,data_baba_water_slot2_win_2nd,data_baba_water_slot2_win_3rd,data_baba_water_slot2_win_out,data_baba_water_slot2_runs,data_baba_water_slot2_win_rate,data_baba_water_slot2_place2_rate,data_baba_water_slot2_place3_rate,data_baba_water_slot2_win_return_rate,data_baba_water_slot2_place_return_rate,mark_raw_坂田,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup,corner3_rank,corner3_gap_pct,corner3_gap_lengths
1,202630080401,2024100235,キナコチャン,,,,,,,,,,,,,,,,2026.07.15,門別,11,2歳牝馬未,,ダ1000,1:05.3,稍,12,12,8,桑村真明,55.0,2-6,40.9,406,+2,クリームパン(2.9),,2026.06.24,門別,8,JRA認(2歳),,ダ1000,1:04.9,良,10,4,4,阿部龍,55.0,6-7,39.5,404,0,ルベルグラン(3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100235,キナコチャン,,藤田凌駕,,,,,,,,,,,202630062406,ＪＲＡ認定競走フレッ,20260624,門別,良,-22,55,1:04.9,39.5,8,差,4,M,牝,2,202630062406,ＪＲＡ認定競走フレッ,20260624,門別,良,-22,55,1:04.9,39.5,8,差,4,M,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100235,キナコチャン,ベストウォーリア,ナスルーラ系,マイネルセレクト,ネイティヴダンサー系,牝2,53.0,406(0),藤田凌駕,佐久間雅,329.3,9,1枠,87,88,89,810,1074,8%,16%,24%,74%,65%,2024100235,キナコチャン,差,520,602,718,5701,7541,6%,14%,24%,56%,63%,2024100235,キナコチャン,藤田凌駕,23,30,38,362,453,5%,11%,20%,59%,66%,2024100235,キナコチャン,佐久間雅,20,37,37,345,439,4%,12%,21%,44%,69%,2024100235,キナコチャン,ベストウォーリア,25,18,22,173,238,10%,18%,27%,85%,60%,2024100235,キナコチャン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100235,キナコチャン,門別ダート1000m,2024100235,キナコチャン,0,0,0,2,2,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100235,キナコチャン,ダート1000m,,0,0,0,2,2,0%,0%,0%,0%,0%,ダート1200m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1500m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,2024100235,キナコチャン,ダート門別,,0,0,0,2,2,0%,0%,0%,0%,0%,ダート・右,,0,0,0,2,2,0%,0%,0%,0%,0%,ダート・左,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,2024100235,キナコチャン,ダート・良,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・稍重,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・不良,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100235,キナコチャン,中2週,,0,0,0,1,1,0%,0%,0%,0%,0%,53kg,,0,0,0,0,0,0%,0%,0%,0%,0%,馬体重,連対時馬体重kg～kg,,,,,,,,,,,2024100235,キナコチャン,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,2024100235,キナコチャン,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,全成績,,0,0,0,2,2,0%,0%,0%,0%,0%,,,,△,,,,8,83.45,8.3,1,8,85.4,8.49
2,202630080401,2024101124,ユイファイア,,,,,,,,,,,,,,,,2026.07.07,門別,2,2歳未勝利,,ダ1000,1:03.3,良,12,4,3,井上俊彦,55.0,2-2,38.7,442,-2,オドゥーラ(0.6),,2026.06.23,門別,3,2歳未勝利,,ダ1000,1:03.1,稍,12,12,1,井上俊彦,55.0,4-4,38.9,444,-4,ロングテールテット(0.4),,2026.06.09,門別,2,2歳未勝利,,ダ1000,1:01.9,重,10,7,3,井上俊彦,55.0,2-1,37.5,448,+8,トーケンジンバック(0.9),,2026.05.26,門別,3,2歳未勝利,,ダ1100,1:09.6,稍,12,11,7,井上俊彦,55.0,4-4,39.3,440,-6,レディーダイヤ(1.0),,2026.05.13,門別,4,JRA認(2歳),,ダ1100,1:11.0,良,12,9,9,井上俊彦,55.0,4-3,39.9,446,0,ドッカンキャベツ(2.3),,2024101124,ユイファイア,,井上俊彦,,,,,,,,,,,202630060901,２歳未勝利,20260609,門別,重,-28,55,1:01.9,37.5,2,先,7,M,牡,2,202630060901,２歳未勝利,20260609,門別,重,-28,55,1:01.9,37.5,2,先,7,M,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101124,ユイファイア,チュウワウィザード,ネイティヴダンサー系,コパノリッキー,サンデーサイレンス系,牡2,55.0,452(+10),井上俊彦,櫻井拓章,3.7,3,2枠,107,124,111,732,1074,9%,21%,31%,94%,81%,2024101124,ユイファイア,差,520,602,718,5701,7541,6%,14%,24%,56%,63%,2024101124,ユイファイア,井上俊彦,9,23,20,295,347,2%,9%,14%,30%,48%,2024101124,ユイファイア,櫻井拓章,18,22,31,258,329,5%,12%,21%,30%,60%,2024101124,ユイファイア,チュウワウィザード,0,2,1,8,11,0%,18%,27%,0%,37%,2024101124,ユイファイア,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101124,ユイファイア,門別ダート1000m,2024101124,ユイファイア,0,2,1,0,3,0%,67%,100%,0%,137%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101124,ユイファイア,ダート1000m,,0,2,1,0,3,0%,66.7%,100%,0%,136.7%,ダート1200m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1500m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,2024101124,ユイファイア,ダート門別,,0,2,2,1,5,0%,40%,80%,0%,258%,ダート・右,,0,2,2,1,5,0%,40%,80%,0%,258%,ダート・左,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,2024101124,ユイファイア,ダート・良,,0,1,0,1,2,0%,50%,50%,0%,65%,ダート・稍重,,0,0,2,0,2,0%,0%,100%,0%,510%,ダート・重,,0,1,0,0,1,0%,100%,100%,0%,140%,ダート・不良,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101124,ユイファイア,中3週,,0,0,0,0,0,0%,0%,0%,0%,0%,55kg,,0,2,2,1,5,0%,40%,80%,0%,258%,馬体重,連対時馬体重442kg～448kg,,,,,,,,,,,2024101124,ユイファイア,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,2024101124,ユイファイア,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,全成績,,0,2,2,1,5,0%,40%,80%,0%,258%,○,○,▲,○,,○,▲,3,27.97,2.78,3,3,39.24,3.9
3,202630080401,2024101870,タイセイアルーア,,,,,,,,,,,,,,,,2026.07.21,門別,3,2歳未勝利,,ダ1000,1:02.8,稍,12,5,2,岩橋勇二,55.0,1-1,38.6,460,-10,ヴィルミーチャン(0.3),,2026.07.02,門別,3,JRA認(2歳),,ダ1000,1:03.9,良,10,6,4,岩橋勇二,55.0,3-3,39.8,470,0,ココロア(0.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101870,タイセイアルーア,,岩橋勇二,,,,,,,,,,,202630072101,２歳未勝利,20260721,門別,稍,-26,55,1:02.8,38.6,3,逃,5,H,牝,2,202630072101,２歳未勝利,20260721,門別,稍,-26,55,1:02.8,38.6,3,逃,5,H,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101870,タイセイアルーア,タイセイレジェンド,ネイティヴダンサー系,ヘニーヒューズ,ノーザンダンサー系,牝2,55.0,462(+2),岩橋勇二,田中淳司,3.1,2,3枠,107,116,103,747,1073,9%,20%,30%,59%,65%,2024101870,タイセイアルーア,先,319,269,213,1206,2007,15%,29%,39%,75%,76%,2024101870,タイセイアルーア,岩橋勇二,105,100,84,487,776,13%,26%,37%,87%,81%,2024101870,タイセイアルーア,田中淳司,134,76,63,226,499,26%,42%,54%,93%,81%,2024101870,タイセイアルーア,タイセイレジェンド,7,4,9,64,84,8%,13%,23%,78%,62%,2024101870,タイセイアルーア,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101870,タイセイアルーア,門別ダート1000m,2024101870,タイセイアルーア,0,0,2,0,2,0%,0%,100%,0%,170%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101870,タイセイアルーア,ダート1000m,,0,0,2,0,2,0%,0%,100%,0%,170%,ダート1200m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1500m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,2024101870,タイセイアルーア,ダート門別,,0,0,2,0,2,0%,0%,100%,0%,170%,ダート・右,,0,0,2,0,2,0%,0%,100%,0%,170%,ダート・左,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,2024101870,タイセイアルーア,ダート・良,,0,0,1,0,1,0%,0%,100%,0%,170%,ダート・稍重,,0,0,1,0,1,0%,0%,100%,0%,170%,ダート・重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・不良,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101870,タイセイアルーア,中1週,,0,0,0,0,0,0%,0%,0%,0%,0%,55kg,,0,0,2,0,2,0%,0%,100%,0%,170%,馬体重,連対時馬体重kg～kg,,,,,,,,,,,2024101870,タイセイアルーア,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,2024101870,タイセイアルーア,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,全成績,,0,0,2,0,2,0%,0%,100%,0%,170%,▲,◎,○,◎,,◎,◎,1,0.0,0.0,3,1,0.0,0.0
