race_id,segment_index,lap_time_sec
202206010201,1,11.7
202206010201,2,10.6
202206010201,3,11.6
202206010201,4,12.5
202206010201,5,12.6
202206010201,6,13.5
202206010202,1,12.6
202206010202,2,12.3
202206010202,3,13.1
202206010202,4,13.2
202206010202,5,12.6
202206010202,6,12.5
202206010202,7,13.0
202206010202,8,12.9
202206010202,9,14.0
202206010203,1,12.3
202206010203,2,10.7
202206010203,3,11.6
202206010203,4,12.3
202206010203,5,12.5
202206010203,6,12.8
202206010204,1,12.6
202206010204,2,11.2
202206010204,3,12.9
202206010204,4,13.8
202206010204,5,13.2
202206010204,6,12.2
202206010204,7,12.8
202206010204,8,12.4
202206010204,9,13.4
202206010205,1,12.5
202206010205,2,11.5
202206010205,3,13.4
202206010205,4,12.6
202206010205,5,13.1
202206010205,6,12.7
202206010205,7,11.9
202206010205,8,11.7
202206010205,9,11.6
202206010205,10,12.2
202206010205,11,12.6
202206010206,1,12.3
202206010206,2,11.4
202206010206,3,11.7
202206010206,4,12.1
202206010206,5,12.2
202206010206,6,12.0
202206010206,7,11.7
202206010206,8,12.3
202206010207,1,11.8
202206010207,2,10.7
202206010207,3,11.6
202206010207,4,12.1
202206010207,5,12.1
202206010207,6,13.4
202206010209,1,12.7
202206010209,2,12.2
202206010209,3,13.0
202206010209,4,13.6
202206010209,5,12.8
202206010209,6,12.5
202206010209,7,12.3
202206010209,8,12.2
202206010209,9,13.0
202206010210,1,11.7
202206010210,2,10.2
202206010210,3,11.3
202206010210,4,12.3
202206010210,5,12.2
202206010210,6,12.9
202206010211,1,12.6
202206010211,2,11.2
202206010211,3,11.3
202206010211,4,11.5
202206010211,5,11.4
202206010211,6,11.5
202206010211,7,11.4
202206010211,8,12.5
202206010212,1,12.3
202206010212,2,13.0
202206010212,3,12.0
202206010212,4,12.5
202206010212,5,12.2
202206010212,6,12.3
202206010212,7,11.8
202206010212,8,11.2
202206010212,9,12.0
202207010201,1,12.7
202207010201,2,11.2
202207010201,3,12.7
202207010201,4,12.8
202207010201,5,12.7
202207010201,6,13.2
202207010201,7,13.3
202207010201,8,13.0
202207010201,9,13.8
202207010202,1,12.1
202207010202,2,11.2
202207010202,3,11.5
202207010202,4,12.3
202207010202,5,13.1
202207010202,6,13.1
202207010202,7,13.4
202207010203,1,12.9
202207010203,2,11.4
202207010203,3,13.2
202207010203,4,12.8
202207010203,5,12.5
202207010203,6,13.2
202207010203,7,13.1
202207010203,8,12.8
202207010203,9,13.0
202207010204,1,12.7
202207010204,2,11.0
202207010204,3,12.2
202207010204,4,12.8
202207010204,5,12.1
202207010204,6,12.6
202207010205,1,12.4
202207010205,2,10.9
202207010205,3,11.1
202207010205,4,12.7
202207010205,5,12.5
202207010205,6,12.5
202207010205,7,12.7
202207010205,8,12.6
202207010205,9,12.3
202207010205,10,11.8
202207010205,11,12.3
202207010206,1,12.8
202207010206,2,11.7
202207010206,3,12.4
202207010206,4,12.8
202207010206,5,13.0
202207010206,6,12.3
202207010206,7,11.0
202207010206,8,11.1
202207010207,1,12.5
202207010207,2,10.9
202207010207,3,12.3
202207010207,4,12.7
202207010207,5,12.9
202207010207,6,12.6
202207010207,7,13.0
202207010207,8,12.8
202207010207,9,13.2
202207010208,1,12.8
202207010208,2,11.3
202207010208,3,13.5
202207010208,4,13.1
202207010208,5,13.1
202207010208,6,13.2
202207010208,7,13.2
202207010208,8,12.2
202207010208,9,12.4
202207010209,1,12.0
202207010209,2,10.7
202207010209,3,11.2
202207010209,4,11.5
202207010209,5,11.0
202207010209,6,11.8
202207010210,1,13.3
202207010210,2,11.4
202207010210,3,12.3
202207010210,4,12.0
202207010210,5,11.9
202207010210,6,11.9
202207010210,7,11.5
202207010210,8,11.2
202207010210,9,11.7
202207010210,10,12.3
202207010211,1,12.2
202207010211,2,10.7
202207010211,3,11.1
202207010211,4,12.0
202207010211,5,12.6
202207010211,6,12.3
202207010211,7,12.9
202207010212,1,12.5
202207010212,2,11.0
202207010212,3,11.5
202207010212,4,12.0
202207010212,5,12.0
202207010212,6,12.9
