race_id,segment_index,lap_time_sec
202204030401,1,12.9
202204030401,2,11.3
202204030401,3,12.6
202204030401,4,13.0
202204030401,5,12.5
202204030401,6,11.4
202204030401,7,10.9
202204030401,8,11.8
202204030402,1,12.9
202204030402,2,11.9
202204030402,3,12.1
202204030402,4,13.6
202204030402,5,13.9
202204030402,6,12.9
202204030402,7,11.6
202204030402,8,10.5
202204030402,9,11.5
202204030403,1,12.6
202204030403,2,10.7
202204030403,3,11.5
202204030403,4,11.5
202204030403,5,12.4
202204030403,6,11.1
202204030403,7,12.1
202204030404,1,12.8
202204030404,2,11.3
202204030404,3,12.8
202204030404,4,13.1
202204030404,5,12.7
202204030404,6,12.6
202204030404,7,12.9
202204030404,8,12.2
202204030404,9,12.2
202204030405,1,12.5
202204030405,2,12.9
202204030405,3,12.9
202204030405,4,13.2
202204030405,5,13.3
202204030405,6,12.4
202204030405,7,11.3
202204030405,8,10.4
202204030405,9,11.3
202204030406,1,12.3
202204030406,2,10.8
202204030406,3,12.1
202204030406,4,13.2
202204030406,5,12.9
202204030406,6,12.0
202204030406,7,12.0
202204030406,8,12.3
202204030406,9,11.6
202204030406,10,11.7
202204030407,1,12.2
202204030407,2,11.2
202204030407,3,11.5
202204030407,4,12.2
202204030407,5,11.9
202204030407,6,12.8
202204030408,1,12.6
202204030408,2,11.3
202204030408,3,11.3
202204030408,4,12.0
202204030408,5,12.5
202204030408,6,12.8
202204030408,7,12.3
202204030408,8,12.3
202204030408,9,12.1
202204030408,10,12.0
202204030408,11,11.7
202204030408,12,12.5
202204030409,1,12.0
202204030409,2,10.2
202204030409,3,10.6
202204030409,4,10.7
202204030409,5,11.8
202204030410,1,12.7
202204030410,2,11.0
202204030410,3,11.3
202204030410,4,12.2
202204030410,5,12.7
202204030410,6,11.9
202204030410,7,12.2
202204030410,8,12.1
202204030410,9,12.5
202204030410,10,11.5
202204030410,11,11.5
202204030411,1,11.7
202204030411,2,10.7
202204030411,3,11.1
202204030411,4,12.1
202204030411,5,12.3
202204030411,6,12.2
202204030412,1,12.4
202204030412,2,11.3
202204030412,3,12.7
202204030412,4,13.1
202204030412,5,12.7
202204030412,6,12.5
202204030412,7,13.3
202204030412,8,12.7
202204030412,9,13.5
202210040402,1,12.8
202210040402,2,11.3
202210040402,3,11.7
202210040402,4,11.9
202210040402,5,12.0
202210040402,6,12.3
202210040402,7,12.3
202210040402,8,12.2
202210040402,9,12.4
202210040402,10,12.6
202210040403,1,7.1
202210040403,2,10.5
202210040403,3,11.2
202210040403,4,12.6
202210040403,5,12.5
202210040403,6,12.5
202210040403,7,12.8
202210040403,8,13.1
202210040403,9,13.2
202210040404,1,12.5
202210040404,2,11.2
202210040404,3,12.5
202210040404,4,13.1
202210040404,5,12.5
202210040404,6,11.9
202210040404,7,11.9
202210040404,8,11.9
202210040404,9,11.5
202210040404,10,11.9
202210040405,1,12.3
202210040405,2,10.3
202210040405,3,10.8
202210040405,4,11.6
202210040405,5,11.6
202210040405,6,11.7
202210040406,1,12.2
202210040406,2,10.4
202210040406,3,11.3
202210040406,4,11.8
202210040406,5,12.4
202210040407,1,11.7
202210040407,2,10.3
202210040407,3,10.8
202210040407,4,11.1
202210040407,5,11.5
202210040407,6,12.4
202210040408,1,6.9
202210040408,2,10.5
202210040408,3,11.4
202210040408,4,12.9
202210040408,5,12.1
202210040408,6,12.3
202210040408,7,12.6
202210040408,8,12.4
202210040408,9,12.9
202210040409,1,11.7
202210040409,2,10.0
202210040409,3,10.7
202210040409,4,11.3
202210040409,5,11.6
202210040409,6,11.6
202210040410,1,6.8
202210040410,2,11.0
202210040410,3,11.2
202210040410,4,12.3
202210040410,5,11.9
202210040410,6,11.7
202210040410,7,12.2
202210040410,8,12.2
202210040410,9,12.3
202210040411,1,11.7
202210040411,2,10.3
202210040411,3,10.8
202210040411,4,11.1
202210040411,5,11.3
202210040411,6,11.7
202210040412,1,12.5
202210040412,2,11.3
202210040412,3,12.0
202210040412,4,11.7
202210040412,5,11.7
202210040412,6,11.9
202210040412,7,11.8
202210040412,8,11.5
202210040412,9,11.6
202201020401,1,6.6
202201020401,2,11.3
202201020401,3,11.4
202201020401,4,12.5
202201020401,5,11.9
202201020401,6,12.3
202201020401,7,12.9
202201020401,8,12.7
202201020402,1,12.4
202201020402,2,10.9
202201020402,3,11.6
202201020402,4,11.5
202201020402,5,12.6
202201020403,1,6.9
202201020403,2,11.1
202201020403,3,12.2
202201020403,4,12.7
202201020403,5,12.6
202201020403,6,12.6
202201020403,7,13.0
202201020403,8,12.6
202201020403,9,13.0
202201020404,1,12.9
202201020404,2,12.2
202201020404,3,12.8
202201020404,4,13.1
202201020404,5,12.9
202201020404,6,13.6
202201020404,7,13.4
202201020404,8,13.0
202201020404,9,12.6
202201020404,10,12.1
202201020404,11,12.3
202201020404,12,12.4
202201020404,13,12.8
202201020405,1,13.1
202201020405,2,11.7
202201020405,3,12.9
202201020405,4,13.3
202201020405,5,12.6
202201020405,6,12.3
202201020405,7,12.3
202201020405,8,13.0
202201020405,9,12.5
202201020405,10,12.6
202201020406,1,13.1
202201020406,2,12.3
202201020406,3,13.1
202201020406,4,12.9
202201020406,5,12.6
202201020406,6,13.0
202201020406,7,13.0
202201020406,8,12.5
202201020406,9,12.3
202201020406,10,12.7
202201020406,11,13.1
202201020406,12,14.0
202201020407,1,6.9
202201020407,2,11.2
202201020407,3,11.6
202201020407,4,12.3
202201020407,5,13.1
202201020407,6,12.4
202201020407,7,12.6
202201020407,8,12.6
202201020407,9,13.0
202201020408,1,12.5
202201020408,2,11.2
202201020408,3,12.4
202201020408,4,12.3
202201020408,5,12.3
202201020408,6,12.5
202201020408,7,11.8
202201020408,8,12.1
202201020408,9,12.3
202201020408,10,12.8
202201020409,1,6.8
202201020409,2,11.4
202201020409,3,12.0
202201020409,4,12.4
202201020409,5,12.5
202201020409,6,12.2
202201020409,7,12.0
202201020409,8,12.3
202201020410,1,6.9
202201020410,2,11.1
202201020410,3,11.7
202201020410,4,12.8
202201020410,5,12.6
202201020410,6,12.5
202201020410,7,12.5
202201020410,8,12.4
202201020410,9,12.5
202201020411,1,12.6
202201020411,2,10.9
202201020411,3,12.0
202201020411,4,12.1
202201020411,5,11.9
202201020411,6,12.2
202201020411,7,11.8
202201020411,8,12.4
202201020411,9,12.6
202201020411,10,12.7
202201020412,1,11.9
202201020412,2,10.7
202201020412,3,11.2
202201020412,4,11.8
202201020412,5,12.2
202201020412,6,12.4
