race_id,data_type,scraped_at,status
202603020806,course_analysis_broodmare_sire,2026-07-22T12:26:34.953772+00:00,success
202603020806,course_analysis_speed_index,2026-07-22T12:26:37.111106+00:00,success
202603020806,course_ranking,2026-07-22T12:26:39.250924+00:00,success
202603020807,course_analysis_waku,2026-07-22T12:26:41.561957+00:00,success
202603020807,course_analysis_running_style,2026-07-22T12:26:43.830525+00:00,success
202603020807,course_analysis_jockey,2026-07-22T12:26:45.964071+00:00,success
202603020807,course_analysis_trainer,2026-07-22T12:26:48.221559+00:00,success
202603020807,course_analysis_sire,2026-07-22T12:26:50.469600+00:00,success
202603020807,course_analysis_broodmare_sire,2026-07-22T12:26:52.544206+00:00,success
202603020807,course_analysis_speed_index,2026-07-22T12:26:54.605577+00:00,success
202603020807,course_ranking,2026-07-22T12:26:56.825331+00:00,success
202603020808,course_analysis_waku,2026-07-22T12:26:59.271691+00:00,success
202603020808,course_analysis_running_style,2026-07-22T12:27:02.110090+00:00,success
202603020808,course_analysis_jockey,2026-07-22T12:27:05.185300+00:00,success
202603020808,course_analysis_trainer,2026-07-22T12:27:07.534491+00:00,success
202603020808,course_analysis_sire,2026-07-22T12:27:09.920770+00:00,success
202603020808,course_analysis_broodmare_sire,2026-07-22T12:27:12.388058+00:00,success
202603020808,course_analysis_speed_index,2026-07-22T12:27:14.772979+00:00,success
202603020808,course_ranking,2026-07-22T12:27:16.969283+00:00,success
202603020809,course_analysis_waku,2026-07-22T12:27:19.396850+00:00,success
202603020809,course_analysis_running_style,2026-07-22T12:27:47.057798+00:00,failed
202603020809,course_analysis_jockey,2026-07-22T12:27:51.013722+00:00,success
202603020809,course_analysis_trainer,2026-07-22T12:27:53.596264+00:00,success
202603020809,course_analysis_sire,2026-07-22T12:27:56.137821+00:00,success
202603020809,course_analysis_broodmare_sire,2026-07-22T12:27:58.634614+00:00,success
202603020809,course_analysis_speed_index,2026-07-22T12:28:00.858557+00:00,success
202603020809,course_ranking,2026-07-22T12:28:03.211196+00:00,success
202603020810,course_analysis_waku,2026-07-22T12:28:05.344552+00:00,success
202603020810,course_analysis_running_style,2026-07-22T12:28:07.524908+00:00,success
202603020810,course_analysis_jockey,2026-07-22T12:28:09.765882+00:00,success
202603020810,course_analysis_trainer,2026-07-22T12:28:11.967034+00:00,success
202603020810,course_analysis_sire,2026-07-22T12:28:14.287105+00:00,success
202603020810,course_analysis_broodmare_sire,2026-07-22T12:28:16.569926+00:00,success
202603020810,course_analysis_speed_index,2026-07-22T12:28:18.667421+00:00,success
202603020810,course_ranking,2026-07-22T12:28:20.815818+00:00,success
202603020811,course_analysis_waku,2026-07-22T12:28:23.276240+00:00,success
202603020811,course_analysis_running_style,2026-07-22T12:28:25.541563+00:00,success
202603020811,course_analysis_jockey,2026-07-22T12:28:27.912634+00:00,success
202603020811,course_analysis_trainer,2026-07-22T12:28:30.140235+00:00,success
202603020811,course_analysis_sire,2026-07-22T12:28:32.562594+00:00,success
202603020811,course_analysis_broodmare_sire,2026-07-22T12:28:34.853206+00:00,success
202603020811,course_analysis_speed_index,2026-07-22T12:28:37.168744+00:00,success
202603020811,course_ranking,2026-07-22T12:28:39.436977+00:00,success
202603020812,course_analysis_waku,2026-07-22T12:28:41.533564+00:00,success
202603020812,course_analysis_running_style,2026-07-22T12:28:43.831004+00:00,success
202603020812,course_analysis_jockey,2026-07-22T12:28:46.707719+00:00,success
202603020812,course_analysis_trainer,2026-07-22T12:28:49.137075+00:00,success
202603020812,course_analysis_sire,2026-07-22T12:28:51.464841+00:00,success
202603020812,course_analysis_broodmare_sire,2026-07-22T12:28:53.943011+00:00,success
202603020812,course_analysis_speed_index,2026-07-22T12:28:56.268147+00:00,success
202603020812,course_ranking,2026-07-22T12:28:58.469868+00:00,success
202610020801,course_analysis_waku,2026-07-22T12:29:00.594996+00:00,success
202610020801,course_analysis_running_style,2026-07-22T12:29:02.858149+00:00,success
202610020801,course_analysis_jockey,2026-07-22T12:29:05.442008+00:00,success
202610020801,course_analysis_trainer,2026-07-22T12:29:07.604455+00:00,success
202610020801,course_analysis_sire,2026-07-22T12:29:09.761205+00:00,success
202610020801,course_analysis_broodmare_sire,2026-07-22T12:29:11.977563+00:00,success
202610020801,course_analysis_speed_index,2026-07-22T12:29:14.247157+00:00,success
202610020801,course_ranking,2026-07-22T12:29:16.463939+00:00,success
202610020802,course_analysis_waku,2026-07-22T12:29:18.753809+00:00,success
202610020802,course_analysis_running_style,2026-07-22T12:29:21.169706+00:00,success
202610020802,course_analysis_jockey,2026-07-22T12:29:23.511931+00:00,success
202610020802,course_analysis_trainer,2026-07-22T12:29:25.958513+00:00,success
202610020802,course_analysis_sire,2026-07-22T12:29:28.347320+00:00,success
202610020802,course_analysis_broodmare_sire,2026-07-22T12:29:30.576950+00:00,success
202610020802,course_analysis_speed_index,2026-07-22T12:29:32.883807+00:00,success
202610020802,course_ranking,2026-07-22T12:29:35.027313+00:00,success
202610020803,course_analysis_waku,2026-07-22T12:29:37.371412+00:00,success
202610020803,course_analysis_running_style,2026-07-22T12:29:39.521464+00:00,success
202610020803,course_analysis_jockey,2026-07-22T12:29:41.699131+00:00,success
202610020803,course_analysis_trainer,2026-07-22T12:29:44.202305+00:00,success
202610020803,course_analysis_sire,2026-07-22T12:29:46.560212+00:00,success
202610020803,course_analysis_broodmare_sire,2026-07-22T12:29:48.911557+00:00,success
202610020803,course_analysis_speed_index,2026-07-22T12:29:51.247659+00:00,success
202610020803,course_ranking,2026-07-22T12:29:53.500382+00:00,success
202610020804,course_analysis_waku,2026-07-22T12:29:55.614583+00:00,success
202610020804,course_analysis_running_style,2026-07-22T12:29:57.806712+00:00,success
202610020804,course_analysis_jockey,2026-07-22T12:30:00.044243+00:00,success
202610020804,course_analysis_trainer,2026-07-22T12:30:02.471780+00:00,success
202610020804,course_analysis_sire,2026-07-22T12:30:04.725067+00:00,success
202610020804,course_analysis_broodmare_sire,2026-07-22T12:30:06.948079+00:00,success
202610020804,course_analysis_speed_index,2026-07-22T12:30:09.124226+00:00,success
202610020804,course_ranking,2026-07-22T12:30:11.227504+00:00,success
202610020805,course_analysis_waku,2026-07-22T12:30:13.308925+00:00,success
202610020805,course_analysis_running_style,2026-07-22T12:30:15.490996+00:00,success
202610020805,course_analysis_jockey,2026-07-22T12:30:17.885674+00:00,success
202610020805,course_analysis_trainer,2026-07-22T12:30:19.992285+00:00,success
202610020805,course_analysis_sire,2026-07-22T12:30:22.304606+00:00,success
202610020805,course_analysis_broodmare_sire,2026-07-22T12:30:24.671199+00:00,success
202610020805,course_analysis_speed_index,2026-07-22T12:30:26.856401+00:00,success
202610020805,course_ranking,2026-07-22T12:30:29.104583+00:00,success
202610020806,course_analysis_waku,2026-07-22T12:30:31.345552+00:00,success
202610020806,course_analysis_running_style,2026-07-22T12:30:33.579140+00:00,success
